district_char,avg_percent_meets,grant_participant,District Name,District Type,ESC Region,Enrollment,Percent Emergent Bilingual,Percent Economically Disadvantag,TEA Description,Overall Scale Score SY21_22,Overall Rating SY21_22
101924,24.9,0,SHELDON ISD,INDEPENDENT,04,10990,0.4072793449,0.8696087352,Major Suburban,86,B
101925,21.9,1,HUFFMAN ISD,INDEPENDENT,04,3717,0.1119182136,0.4358353511,Non-metropolitan Stable,81,B
102901,34.8,0,KARNACK ISD,INDEPENDENT,07,130,0.0615384615,0.8923076923,Rural,69,Not Rated: SB 1365
102902,31.7,0,MARSHALL ISD,INDEPENDENT,07,5057,0.2766462329,0.7986948784,Non-metropolitan Stable,86,B
102903,34.4,0,WASKOM ISD,INDEPENDENT,07,825,0.1503030303,0.6775757576,Rural,92,A
102904,31,0,HALLSVILLE ISD,INDEPENDENT,07,19818,0.1088404481,0.543243516,Other Central City Suburban,59,Not Rated: SB 1365
102905,45.6,0,HARLETON ISD,INDEPENDENT,07,705,0.0170212766,0.485106383,Rural,92,A
102906,42,0,ELYSIAN FIELDS ISD,INDEPENDENT,07,813,0.0110701107,0.4686346863,Rural,90,A
103901,19.2,0,CHANNING ISD,INDEPENDENT,16,161,0.1366459627,0.701863354,Rural,84,B
103902,29.2,0,HARTLEY ISD,INDEPENDENT,16,230,0.3956521739,0.6086956522,Rural,94,A
104901,39.3,0,HASKELL CISD,INDEPENDENT,14,539,0.0185528757,0.6641929499,Rural,93,A
104903,32.5,0,RULE ISD,INDEPENDENT,14,133,0.0601503759,0.8270676692,Rural,89,B
104907,53.2,0,PAINT CREEK ISD,INDEPENDENT,14,100,0,0.74,Rural,93,A
105802,12.9,0,TEXAS PREPARATORY SCHOOL,CHARTER,13,73,0,0.4794520548,Charter School Districts,66,Not Rated: SB 1365
105803,2.5,0,KI CHARTER ACADEMY,CHARTER,13,429,0,0.8951048951,Charter School Districts,43,Not Rated: SB 1365
105804,41.5,0,DORAL ACADEMY OF TEXAS,CHARTER,13,370,0.0594594595,0.427027027,N/A,,
105902,26.2,0,SAN MARCOS CISD,INDEPENDENT,13,8447,0.1691724873,0.7886823724,Other Central City Suburban,81,B
105904,69.4,0,DRIPPING SPRINGS ISD,INDEPENDENT,13,8375,0.0568358209,0.0897910448,Major Suburban,75,C
105905,49.3,0,WIMBERLEY ISD,INDEPENDENT,13,2700,0.0892592593,0.3181481481,Non-metropolitan Stable,82,B
105906,29.2,0,HAYS CISD,INDEPENDENT,13,22297,0.2379243844,0.4799748845,Major Suburban,78,C
106901,43,0,CANADIAN ISD,INDEPENDENT,16,829,0.1652593486,0.4475271411,Rural,93,A
107901,42.5,1,ATHENS ISD,INDEPENDENT,10,3099,0.3259115844,0.7870280736,Independent Town,91,A
107902,45.6,0,BROWNSBORO ISD,INDEPENDENT,07,2620,0.0698473282,0.6145038168,Other Central City Suburban,87,B
107904,51.3,0,CROSS ROADS ISD,INDEPENDENT,07,560,0.0571428571,0.6267857143,Rural,82,B
107905,47.4,0,EUSTACE ISD,INDEPENDENT,07,1727,0.0474811812,0.6491024899,Non-metropolitan Stable,89,B
107906,57.7,0,MALAKOFF ISD,INDEPENDENT,07,1433,0.1144452198,0.7180739707,Non-metropolitan Stable,95,A
107907,20.6,0,TRINIDAD ISD,INDEPENDENT,07,133,0.037593985,0.8045112782,Rural,83,B
107908,26.2,0,MURCHISON ISD,INDEPENDENT,07,175,0.0971428571,0.6514285714,Rural,70,C
107910,22.8,0,LAPOYNOR ISD,INDEPENDENT,07,491,0.0122199593,0.5274949084,Rural,79,C
108802,35.9,0,HORIZON MONTESSORI PUBLIC SCHOOLS,CHARTER,01,1469,0.3219877468,0.7181756297,Charter School Districts,77,C
108807,27.6,0,IDEA PUBLIC SCHOOLS,CHARTER,01,74217,0.4557311667,0.8700836736,Charter School Districts,95,A
108808,47.5,1,VANGUARD ACADEMY,CHARTER,01,5950,0.5324369748,0.7593277311,Charter School Districts,95,A
108809,35.9,0,EXCELLENCE IN LEADERSHIP ACADEMY,CHARTER,01,263,0.7072243346,0.8593155894,Charter School Districts,60,Not Rated: SB 1365
108902,21.6,1,DONNA ISD,INDEPENDENT,01,13165,0.5944549943,0.9593619445,Other Central City Suburban,89,B
108903,20,1,EDCOUCH-ELSA ISD,INDEPENDENT,01,4366,0.2920293175,0.9393037105,Other Central City Suburban,82,B
108904,35.1,0,EDINBURG CISD,INDEPENDENT,01,33911,0.4436613488,0.8253369113,Other Central City,92,A
108905,59.9,1,HIDALGO ISD,INDEPENDENT,01,3010,0.7744186047,0.8877076412,Other Central City Suburban,93,A
108906,39.5,0,MCALLEN ISD,INDEPENDENT,01,20399,0.42320702,0.7248884749,Other Central City Suburban,92,A
108907,27.3,1,MERCEDES ISD,INDEPENDENT,01,4457,0.3542741755,0.9163114202,Non-metropolitan Stable,90,A
108908,39.1,0,MISSION CISD,INDEPENDENT,01,14502,0.4173217487,0.8666390843,Other Central City Suburban,93,A
108909,40.6,1,PHARR-SAN JUAN-ALAMO ISD,INDEPENDENT,01,30003,0.5232476752,0.9248741792,Other Central City,93,A
108910,51.5,1,PROGRESO ISD,INDEPENDENT,01,1444,0.7735457064,0.9993074792,Non-metropolitan Stable,89,B
108911,40.9,0,SHARYLAND ISD,INDEPENDENT,01,9732,0.4867447596,0.6857788738,Other Central City Suburban,93,A
108912,32,0,LA JOYA ISD,INDEPENDENT,01,24804,0.6253426867,0.9363812288,Other Central City,92,A
108913,41.4,0,WESLACO ISD,INDEPENDENT,01,16491,0.2976168819,0.8266327088,Other Central City Suburban,92,A
108914,24.8,0,LA VILLA ISD,INDEPENDENT,01,566,0.222614841,0.9363957597,Rural,62,Not Rated: SB 1365
108915,46,0,MONTE ALTO ISD,INDEPENDENT,01,865,0.4219653179,0.910982659,Non-metropolitan Stable,92,A
108916,52.5,1,VALLEY VIEW ISD,INDEPENDENT,01,3739,0.8258892752,0.962021931,Other Central City Suburban,93,A
109901,52.4,0,ABBOTT ISD,INDEPENDENT,12,286,0.0034965035,0.2692307692,Rural,90,A
109902,45.6,0,BYNUM ISD,INDEPENDENT,12,189,0.1058201058,0.5873015873,Rural,94,A
109903,28.1,0,COVINGTON ISD,INDEPENDENT,12,319,0.0689655172,0.6144200627,Rural,90,A
109904,27.5,1,HILLSBORO ISD,INDEPENDENT,12,2011,0.294380905,0.7637991049,Independent Town,91,A
109905,34.7,0,HUBBARD ISD,INDEPENDENT,12,447,0.0313199105,0.6241610738,Rural,80,B
109907,22.7,0,ITASCA ISD,INDEPENDENT,12,651,0.2073732719,0.6651305684,Rural,89,B
109908,31.2,0,MALONE ISD,INDEPENDENT,12,128,0.6015625,0.8671875,Rural,70,C
109910,21.8,0,MOUNT CALM ISD,INDEPENDENT,12,168,0.0892857143,0.7678571429,Rural,86,B
109911,32,0,WHITNEY ISD,INDEPENDENT,12,1522,0.0880420499,0.6537450723,Independent Town,81,B
109912,69.1,0,AQUILLA ISD,INDEPENDENT,12,323,0.0557275542,0.5046439628,Non-metropolitan Fast Growing,91,A
109913,44.5,0,BLUM ISD,INDEPENDENT,12,338,0.0236686391,0.5355029586,Rural,85,B
109914,35.8,0,PENELOPE ISD,INDEPENDENT,12,202,0.0841584158,0.5693069307,Rural,77,C
110901,38.9,1,ANTON ISD,INDEPENDENT,17,170,0.0352941176,0.8058823529,Rural,90,A
110902,34,1,LEVELLAND ISD,INDEPENDENT,17,2691,0.1170568562,0.7636566332,Non-metropolitan Stable,93,A
110905,47.8,0,ROPES ISD,INDEPENDENT,17,546,0.0201465201,0.3461538462,Non-metropolitan Fast Growing,92,A
110906,49.5,0,SMYER ISD,INDEPENDENT,17,442,0.0520361991,0.5520361991,Rural,92,A
110907,85.8,0,SUNDOWN ISD,INDEPENDENT,17,592,0.0489864865,0.5016891892,Rural,90,A
110908,58.3,0,WHITHARRAL ISD,INDEPENDENT,17,234,0.0085470085,0.4615384615,Rural,94,A
111901,33.9,1,GRANBURY ISD,INDEPENDENT,11,7954,0.1206939904,0.5486547649,Other Central City Suburban,83,B
111902,56.1,0,LIPAN ISD,INDEPENDENT,11,467,0.0449678801,0.5460385439,Rural,89,B
111903,35.7,0,TOLAR ISD,INDEPENDENT,11,878,0.0091116173,0.3564920273,Rural,90,A
112901,51.7,0,SULPHUR SPRINGS ISD,INDEPENDENT,08,4361,0.1797752809,0.6514560881,Independent Town,90,A
112905,43.7,0,CUMBY COLLEGIATE ISD,INDEPENDENT,08,431,0.0533642691,0.5638051044,Rural,91,A
112906,66.6,0,NORTH HOPKINS ISD,INDEPENDENT,08,516,0.1472868217,0.6124031008,Rural,93,A
112907,28.9,0,MILLER GROVE ISD,INDEPENDENT,08,317,0.0630914826,0.4794952681,Rural,91,A
112908,51.7,0,COMO-PICKTON CISD,INDEPENDENT,08,734,0.2970027248,0.6457765668,Rural,86,B
112909,71.3,0,SALTILLO ISD,INDEPENDENT,08,248,0.1451612903,0.5806451613,Rural,92,A
112910,33.9,0,SULPHUR BLUFF ISD,INDEPENDENT,08,227,0.0616740088,0.550660793,Rural,80,B
113901,7.4,1,CROCKETT ISD,INDEPENDENT,06,1203,0.2310889443,0.8919368246,Non-metropolitan Stable,80,B
113902,32.2,0,GRAPELAND ISD,INDEPENDENT,06,615,0.0048780488,0.6292682927,Non-metropolitan Fast Growing,89,B
113903,42.9,0,LOVELADY ISD,INDEPENDENT,06,538,0.0278810409,0.4888475836,Rural,90,A
113905,29.2,0,LATEXO ISD,INDEPENDENT,06,497,0.0583501006,0.5633802817,Rural,91,A
113906,73.7,0,KENNARD ISD,INDEPENDENT,06,258,0.003875969,0.6666666667,Rural,86,B
114901,47.7,1,BIG SPRING ISD,INDEPENDENT,18,3510,0.0792022792,0.7290598291,Independent Town,70,C
114902,38.9,0,COAHOMA ISD,INDEPENDENT,18,1095,0.0401826484,0.3945205479,Non-metropolitan Stable,67,Not Rated: SB 1365
114904,37.8,0,FORSAN ISD,INDEPENDENT,18,753,0.0332005312,0.3917662683,Rural,85,B
115901,19.9,0,FT HANCOCK ISD,INDEPENDENT,19,377,0.7108753316,0.8965517241,Rural,91,A
115902,21.4,0,SIERRA BLANCA ISD,INDEPENDENT,19,116,0.0862068966,0.8362068966,Rural,84,B
115903,33.3,0,DELL CITY ISD,INDEPENDENT,19,61,0.3114754098,0.8032786885,Rural,86,B
116901,63.4,0,CADDO MILLS ISD,INDEPENDENT,10,2642,0.0813777441,0.2997728993,Non-metropolitan Stable,93,A
116902,39.1,0,CELESTE ISD,INDEPENDENT,10,519,0.0732177264,0.612716763,Rural,93,A
116903,24.4,0,COMMERCE ISD,INDEPENDENT,10,1517,0.1410678972,0.7481872116,Non-metropolitan Stable,91,A
116905,25.8,0,GREENVILLE ISD,INDEPENDENT,10,5422,0.2834747326,0.7519365548,Independent Town,78,C
116906,45.4,0,LONE OAK ISD,INDEPENDENT,10,1083,0.0424746076,0.4524469067,Non-metropolitan Stable,92,A
116908,33.4,1,QUINLAN ISD,INDEPENDENT,10,2784,0.2198275862,0.7622126437,Non-metropolitan Stable,80,B
116909,55,0,WOLFE CITY ISD,INDEPENDENT,10,720,0.1138888889,0.5819444444,Rural,93,A
116910,21.7,0,CAMPBELL ISD,INDEPENDENT,10,295,0.1525423729,0.6711864407,Rural,68,Not Rated: SB 1365
116915,62.6,0,BLAND ISD,INDEPENDENT,10,773,0.3040103493,0.6119016818,Rural,89,B
116916,40.6,0,BOLES ISD,INDEPENDENT,10,547,0.0804387569,0.5978062157,Rural,92,A
117901,39.8,1,BORGER ISD,INDEPENDENT,16,2477,0.1194993944,0.5938635446,Non-metropolitan Stable,81,B
117903,37.8,0,SANFORD-FRITCH ISD,INDEPENDENT,16,688,0.0058139535,0.4898255814,Rural,73,C
117904,52.5,0,PLEMONS-STINNETT-PHILLIPS CISD,INDEPENDENT,16,573,0.0157068063,0.3891797557,Rural,93,A
117907,36.5,0,SPRING CREEK ISD,INDEPENDENT,16,92,0.0652173913,0.3913043478,Rural,75,C
118902,60.4,0,IRION COUNTY ISD,INDEPENDENT,15,333,0.021021021,0.3663663664,Rural,91,A
119901,31.9,0,BRYSON ISD,INDEPENDENT,09,259,0.027027027,0.5598455598,Rural,91,A
119902,37.6,0,JACKSBORO ISD,INDEPENDENT,09,1083,0.1819021237,0.6795937211,Non-metropolitan Stable,89,B
119903,42.2,0,PERRIN-WHITT CISD,INDEPENDENT,09,319,0.0344827586,0.5078369906,Rural,93,A
120901,47,1,EDNA ISD,INDEPENDENT,03,1573,0.1214240305,0.6198347107,Non-metropolitan Stable,90,A
120902,59.1,0,GANADO ISD,INDEPENDENT,03,711,0.1758087201,0.5302390999,Rural,88,B
120905,72,0,INDUSTRIAL ISD,INDEPENDENT,03,1188,0.0580808081,0.3560606061,Non-metropolitan Stable,91,A
121902,28.5,0,BROOKELAND ISD,INDEPENDENT,05,341,0,0.6129032258,Rural,92,A
121903,58,0,BUNA ISD,INDEPENDENT,05,1477,0.0067704807,0.4773188896,Non-metropolitan Stable,75,C
121904,12.6,0,JASPER ISD,INDEPENDENT,05,2211,0.1108095884,0.8335594754,Independent Town,69,Not Rated: SB 1365
121905,48.5,0,KIRBYVILLE CISD,INDEPENDENT,05,1502,0.0379494008,0.6484687084,Non-metropolitan Stable,85,B
121906,58,0,EVADALE ISD,INDEPENDENT,05,371,0.0188679245,0.4447439353,Rural,78,C
122901,28.9,0,FT DAVIS ISD,INDEPENDENT,18,183,0.2131147541,0.5901639344,Rural,76,C
123803,43.2,0,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,CHARTER,05,337,0,0.940652819,Charter School Districts,56,Not Rated: SB 1365
123805,45.4,0,EHRHART SCHOOL,CHARTER,05,529,0.6238185255,0.8846880907,Charter School Districts,86,B
123807,38,0,BOB HOPE SCHOOL,CHARTER,05,2313,0.5767401643,0.8996973627,Charter School Districts,91,A
123905,35.5,0,NEDERLAND ISD,INDEPENDENT,05,5029,0.156094651,0.4943328694,Other Central City Suburban,86,B
123907,20,1,PORT ARTHUR ISD,INDEPENDENT,05,8152,0.3792934249,0.8639597645,Other Central City Suburban,74,C
123908,46.7,0,PORT NECHES-GROVES ISD,INDEPENDENT,05,5242,0.0919496375,0.4727203357,Other Central City Suburban,71,C
123910,22.5,0,BEAUMONT ISD,INDEPENDENT,05,16730,0.1878063359,0.8164375374,Other Central City,67,Not Rated: SB 1365
123913,27.6,0,SABINE PASS ISD,INDEPENDENT,05,370,0.0405405405,0.5891891892,Rural,86,B
123914,56.4,0,HAMSHIRE-FANNETT ISD,INDEPENDENT,05,2065,0.0842615012,0.4464891041,Other Central City Suburban,69,Not Rated: SB 1365
124901,43.1,0,JIM HOGG COUNTY ISD,INDEPENDENT,01,1072,0.0792910448,0.859141791,Non-metropolitan Stable,93,A
125901,37.5,1,ALICE ISD,INDEPENDENT,02,4506,0.0452729694,0.8311140701,Independent Town,69,Not Rated: SB 1365
125902,48.2,0,BEN BOLT-PALITO BLANCO ISD,INDEPENDENT,02,494,0.0425101215,0.8178137652,Rural,91,A
125903,54.9,0,ORANGE GROVE ISD,INDEPENDENT,02,1755,0.0393162393,0.6301994302,Non-metropolitan Stable,93,A
125905,32.6,0,PREMONT ISD,INDEPENDENT,02,757,0.0832232497,0.8890356671,Non-metropolitan Fast Growing,93,A
125906,23.7,0,LA GLORIA ISD,INDEPENDENT,02,102,0,0.7254901961,Rural,75,C
126901,25.1,0,ALVARADO ISD,INDEPENDENT,11,3750,0.2517333333,0.6829333333,Other Central City Suburban,75,C
126902,47.1,0,BURLESON ISD,INDEPENDENT,11,12865,0.0848814613,0.4130586864,Other Central City,76,C
126903,42.5,0,CLEBURNE ISD,INDEPENDENT,11,7243,0.2396796907,0.7126881127,Other Central City Suburban,91,A
126904,56.9,1,GRANDVIEW ISD,INDEPENDENT,11,1403,0.0748396294,0.3884533143,Non-metropolitan Stable,91,A
126905,56.3,0,JOSHUA ISD,INDEPENDENT,11,5892,0.1422267481,0.5086558045,Other Central City Suburban,89,B
126906,41.8,0,KEENE ISD,INDEPENDENT,11,1053,0.2459639126,0.6685660019,Non-metropolitan Stable,90,A
126907,39.6,0,RIO VISTA ISD,INDEPENDENT,11,945,0.055026455,0.5767195767,Rural,89,B
126908,27.8,1,VENUS ISD,INDEPENDENT,11,2319,0.3251401466,0.7874083657,Other Central City Suburban,86,B
126911,44.2,0,GODLEY ISD,INDEPENDENT,11,2811,0.1334044824,0.457132693,Major Suburban,82,B
127901,38.7,0,ANSON ISD,INDEPENDENT,14,752,0.0279255319,0.6223404255,Rural,91,A
127903,42.3,0,HAMLIN COLLEGIATE ISD,INDEPENDENT,14,418,0.0622009569,0.6985645933,Rural,92,A
127904,32.2,0,HAWLEY ISD,INDEPENDENT,14,819,0.0048840049,0.5286935287,Rural,69,Not Rated: SB 1365
127905,0,0,LUEDERS-AVOCA ISD,INDEPENDENT,14,101,0.0099009901,0.7920792079,Rural,94,A
127906,37.4,0,STAMFORD ISD,INDEPENDENT,14,604,0.0529801325,0.630794702,Rural,94,A
128901,22.8,0,KARNES CITY ISD,INDEPENDENT,20,4835,0.0674250259,0.6043433299,Non-metropolitan Fast Growing,91,A
128902,21.7,0,KENEDY ISD,INDEPENDENT,03,729,0.0740740741,0.8340192044,Rural,80,B
128903,17.3,0,RUNGE ISD,INDEPENDENT,03,208,0.0096153846,0.8605769231,Rural,78,C
128904,75,0,FALLS CITY ISD,INDEPENDENT,20,442,0.0226244344,0.1900452489,Rural,94,A
129901,27,1,CRANDALL ISD,INDEPENDENT,10,6003,0.187906047,0.6195235715,Major Suburban,81,B
129902,23.1,0,FORNEY ISD,INDEPENDENT,10,16211,0.1414471655,0.43081858,Major Suburban,65,Not Rated: SB 1365
129903,47.4,0,KAUFMAN ISD,INDEPENDENT,10,4332,0.2703139428,0.7162973223,Other Central City Suburban,94,A
129904,36.5,0,KEMP ISD,INDEPENDENT,10,1835,0.2141689373,0.7204359673,Non-metropolitan Stable,76,C
129905,47.4,0,MABANK ISD,INDEPENDENT,10,3904,0.0968237705,0.6526639344,Other Central City Suburban,93,A
129906,29.2,0,TERRELL ISD,INDEPENDENT,10,5208,0.319124424,0.6328725038,Other Central City Suburban,91,A
129910,52.3,0,SCURRY-ROSSER ISD,INDEPENDENT,10,1066,0.1247654784,0.5018761726,Non-metropolitan Stable,79,C
130901,53.9,0,BOERNE ISD,INDEPENDENT,20,10763,0.0797175509,0.1927901143,Major Suburban,80,B
130902,32,0,COMFORT ISD,INDEPENDENT,13,1104,0.1902173913,0.5552536232,Non-metropolitan Stable,85,B
131001,46.4,0,KENEDY COUNTY WIDE CSD,COMMON,02,98,0.0408163265,0.4081632653,Rural,85,B
132902,51.5,0,JAYTON-GIRARD ISD,INDEPENDENT,17,175,0,0.4285714286,Rural,94,A
133901,45.9,0,CENTER POINT ISD,INDEPENDENT,20,549,0.320582878,0.7158469945,Rural,91,A
133902,50.2,0,HUNT ISD,INDEPENDENT,20,202,0.1732673267,0.4752475248,Rural,90,A
133903,53.6,1,KERRVILLE ISD,INDEPENDENT,20,4878,0.098195982,0.5682656827,Independent Town,85,B
133904,64.4,0,INGRAM ISD,INDEPENDENT,20,1240,0.2008064516,0.6967741935,Non-metropolitan Stable,94,A
133905,48.6,0,DIVIDE ISD,INDEPENDENT,20,37,0.0540540541,0.5405405405,Rural,70,C
134901,36.2,0,JUNCTION ISD,INDEPENDENT,15,619,0.0613893376,0.6381260097,Rural,91,A
135001,62.5,0,GUTHRIE CSD,COMMON,17,119,0.0420168067,0.1512605042,Rural,85,B
136901,47.6,0,BRACKETT ISD,INDEPENDENT,20,552,0.0597826087,0.643115942,Rural,90,A
137901,24.2,0,KINGSVILLE ISD,INDEPENDENT,02,2694,0.0486265776,0.8262806236,Independent Town,82,B
137902,56.5,0,RICARDO ISD,INDEPENDENT,02,655,0.0320610687,0.5160305344,Rural,91,A
137903,40.4,0,RIVIERA ISD,INDEPENDENT,02,478,0.0292887029,0.5083682008,Rural,94,A
137904,55.5,0,SANTA GERTRUDIS ISD,INDEPENDENT,02,823,0.0279465371,0.4483596598,Rural,94,A
138902,58.4,0,KNOX CITY-O'BRIEN CISD,INDEPENDENT,09,209,0.0717703349,0.6555023923,Rural,82,B
138903,55.8,0,MUNDAY CISD,INDEPENDENT,09,409,0.0709046455,0.5941320293,Rural,91,A
138904,38.2,0,BENJAMIN ISD,INDEPENDENT,09,130,0.0230769231,0.7230769231,Rural,92,A
139905,48.3,0,CHISUM ISD,INDEPENDENT,08,1179,0.0653095844,0.4342663274,Non-metropolitan Stable,85,B
139909,32.2,1,PARIS ISD,INDEPENDENT,08,3856,0.1587136929,0.7852697095,Independent Town,89,B
139911,47.2,1,NORTH LAMAR ISD,INDEPENDENT,08,2450,0.0436734694,0.5742857143,Non-metropolitan Stable,80,B
139912,59.9,0,PRAIRILAND ISD,INDEPENDENT,08,1099,0.0409463148,0.5386715196,Non-metropolitan Stable,91,A
140901,5.6,0,AMHERST ISD,INDEPENDENT,17,120,0.5916666667,0.8666666667,Rural,91,A
140904,42.4,1,LITTLEFIELD ISD,INDEPENDENT,17,1203,0.1122194514,0.7339983375,Non-metropolitan Stable,93,A
140905,32.8,0,OLTON ISD,INDEPENDENT,17,597,0.2311557789,0.7051926298,Rural,89,B
140907,53.4,0,SPRINGLAKE-EARTH ISD,INDEPENDENT,17,310,0.2419354839,0.7516129032,Rural,89,B
140908,50.8,0,SUDAN ISD,INDEPENDENT,17,474,0.1097046414,0.5358649789,Rural,94,A
141901,48.4,0,LAMPASAS ISD,INDEPENDENT,12,3567,0.0521446594,0.5130361648,Other Central City Suburban,92,A
141902,17.2,0,LOMETA ISD,INDEPENDENT,12,276,0.1630434783,0.8405797101,Rural,93,A
142901,35.8,0,COTULLA ISD,INDEPENDENT,20,1170,0.0846153846,0.8487179487,Other Central City Suburban,90,A
143901,61.5,0,HALLETTSVILLE ISD,INDEPENDENT,03,1172,0.0383959044,0.4001706485,Non-metropolitan Stable,91,A
143902,60.1,1,MOULTON ISD,INDEPENDENT,03,304,0.1842105263,0.5197368421,Rural,91,A
143903,73.2,0,SHINER ISD,INDEPENDENT,03,724,0.0359116022,0.3011049724,Rural,86,B
143904,71.7,0,VYSEHRAD ISD,INDEPENDENT,03,113,0.0088495575,0.5132743363,Rural,88,B
143905,57.7,0,SWEET HOME ISD,INDEPENDENT,03,145,0,0.2,Rural,82,B
143906,74.7,0,EZZELL ISD,INDEPENDENT,03,112,0,0.4285714286,Rural,86,B
144901,36.3,1,GIDDINGS ISD,INDEPENDENT,13,1930,0.2626943005,0.5932642487,Non-metropolitan Stable,91,A
144902,48,0,LEXINGTON ISD,INDEPENDENT,13,1084,0.0682656827,0.4031365314,Non-metropolitan Stable,91,A
144903,12.3,0,DIME BOX ISD,INDEPENDENT,13,170,0.1882352941,0.7705882353,Rural,69,Not Rated: SB 1365
145901,46.7,0,BUFFALO ISD,INDEPENDENT,06,1052,0.2072243346,0.6530418251,Non-metropolitan Stable,95,A
145902,36.7,0,CENTERVILLE ISD,INDEPENDENT,06,691,0.0405209841,0.494934877,Rural,90,A
145906,44.4,0,NORMANGEE ISD,INDEPENDENT,06,637,0.0423861852,0.52433281,Rural,92,A
145907,35.4,0,OAKWOOD ISD,INDEPENDENT,06,230,0.0217391304,0.8826086957,Rural,81,B
145911,43.1,0,LEON ISD,INDEPENDENT,06,766,0.2036553525,0.5639686684,Rural,95,A
146901,15.2,0,CLEVELAND ISD,INDEPENDENT,04,11567,0.700181551,0.9443243711,Other Central City Suburban,83,B
146902,26.6,1,DAYTON ISD,INDEPENDENT,04,5776,0.2581371191,0.7183171745,Non-metropolitan Stable,73,C
146903,83.8,0,DEVERS ISD,INDEPENDENT,04,204,0.0784313725,0.3480392157,Rural,94,A
146904,35.4,0,HARDIN ISD,INDEPENDENT,05,1317,0.0417615793,0.6211085801,Non-metropolitan Stable,93,A
146905,27.2,0,HULL-DAISETTA ISD,INDEPENDENT,05,431,0.0185614849,0.7378190255,Rural,80,B
146906,28.1,1,LIBERTY ISD,INDEPENDENT,05,2398,0.252293578,0.6784820684,Non-metropolitan Stable,88,B
146907,51.1,0,TARKINGTON ISD,INDEPENDENT,04,1893,0.0639197042,0.5705229794,Non-metropolitan Stable,90,A
147901,53.6,0,COOLIDGE ISD,INDEPENDENT,12,295,0.1491525424,0.7694915254,Rural,95,A
147902,30.4,0,GROESBECK ISD,INDEPENDENT,12,1573,0.0801017165,0.6522568341,Non-metropolitan Stable,75,C
147903,23.6,0,MEXIA ISD,INDEPENDENT,12,1864,0.2537553648,0.8272532189,Non-metropolitan Stable,90,A
148901,78,0,BOOKER ISD,INDEPENDENT,16,343,0.4548104956,0.5743440233,Rural,92,A
148902,25.1,0,FOLLETT ISD,INDEPENDENT,16,184,0.097826087,0.5489130435,Rural,88,B
148905,14.8,0,DARROUZETT ISD,INDEPENDENT,16,112,0.2321428571,0.7232142857,Rural,84,B
149901,66.9,0,GEORGE WEST ISD,INDEPENDENT,02,1083,0.055401662,0.6380424746,Non-metropolitan Stable,92,A
149902,42.5,0,THREE RIVERS ISD,INDEPENDENT,02,585,0.0547008547,0.6324786325,Rural,78,C
150901,50.4,0,LLANO ISD,INDEPENDENT,13,1937,0.138358286,0.6850800207,Non-metropolitan Stable,93,A
152504,43.3,0,TEXAS TECH UNIVERSITY K-12,INDEPENDENT,17,735,0,0.0666666667,,73,C
152802,69.8,0,RISE ACADEMY,CHARTER,17,297,0,0.861952862,Charter School Districts,93,A
152806,9.4,0,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,CHARTER,17,175,0,0.7371428571,Charter School Districts,51,Not Rated: SB 1365
152901,40.8,0,LUBBOCK ISD,INDEPENDENT,17,25247,0.0683645582,0.7294728087,Other Central City,91,A
152902,23.7,0,NEW DEAL ISD,INDEPENDENT,17,757,0.036988111,0.7093791281,Rural,94,A
152903,31.9,0,SLATON ISD,INDEPENDENT,17,1268,0.0638801262,0.7294952681,Non-metropolitan Stable,92,A
152906,64.9,0,LUBBOCK-COOPER ISD,INDEPENDENT,17,7750,0.0443870968,0.3624516129,Other Central City Suburban,92,A
152907,53.9,0,FRENSHIP ISD,INDEPENDENT,17,11165,0.0544558889,0.5109717868,Other Central City Suburban,92,A
152908,40.7,0,ROOSEVELT ISD,INDEPENDENT,17,1175,0.0672340426,0.7353191489,Other Central City Suburban,92,A
152909,69.7,0,SHALLOWATER ISD,INDEPENDENT,17,1762,0.0317820658,0.3796821793,Other Central City Suburban,95,A
152910,53.6,0,IDALOU ISD,INDEPENDENT,17,988,0.0263157895,0.3370445344,Other Central City Suburban,93,A
153903,29,0,O'DONNELL ISD,INDEPENDENT,17,288,0.0694444444,0.6770833333,Rural,92,A
153904,54.5,0,TAHOKA ISD,INDEPENDENT,17,595,0.0352941176,0.5781512605,Rural,93,A
153905,71.5,0,NEW HOME ISD,INDEPENDENT,17,626,0.0207667732,0.1261980831,Non-metropolitan Fast Growing,81,B
153907,25.6,0,WILSON ISD,INDEPENDENT,17,125,0.104,0.744,Rural,87,B
154901,39.9,0,MADISONVILLE CISD,INDEPENDENT,06,2431,0.2583299054,0.7338543809,Non-metropolitan Stable,95,A
154903,48.6,0,NORTH ZULCH ISD,INDEPENDENT,06,352,0.0653409091,0.6590909091,Rural,94,A
155901,33.5,0,JEFFERSON ISD,INDEPENDENT,08,1132,0.0176678445,0.7234982332,Non-metropolitan Stable,75,C
156902,53,0,STANTON ISD,INDEPENDENT,18,1081,0.1248843663,0.5217391304,Other Central City Suburban,94,A
156905,76.3,0,GRADY ISD,INDEPENDENT,18,258,0.0736434109,0.1860465116,Rural,85,B
157901,59.7,1,MASON ISD,INDEPENDENT,15,709,0.1170662906,0.4724964739,Rural,95,A
