district_char,avg_percent_meets,grant_participant,District Name,District Type,ESC Region,Enrollment,Percent Emergent Bilingual,Percent Economically Disadvantag,TEA Description,Overall Scale Score SY21_22,Overall Rating SY21_22
071806,30.1,0,HARMONY PUBLIC SCHOOLS - WEST TEXAS,CHARTER,19,4967,0.3519226898,0.7439098047,Charter School Districts,94,A
071807,62.6,0,LA FE PREPARATORY SCHOOL,CHARTER,19,184,0.8913043478,1,Charter School Districts,85,B
071809,41.2,0,VISTA DEL FUTURO CHARTER SCHOOL,CHARTER,19,332,0.3855421687,0.5873493976,Charter School Districts,76,C
071901,27,1,CLINT ISD,INDEPENDENT,19,10365,0.5297636276,0.8485287024,Major Suburban,91,A
071902,34.9,1,EL PASO ISD,INDEPENDENT,19,50031,0.4041094521,0.7585496992,Major Urban,92,A
071903,35.8,1,FABENS ISD,INDEPENDENT,19,1931,0.5841532885,0.9238736406,Non-metropolitan Stable,90,A
071904,23.4,1,SAN ELIZARIO ISD,INDEPENDENT,19,3177,0.646521876,0.9124960655,Major Suburban,86,B
071905,49.6,1,YSLETA ISD,INDEPENDENT,19,36183,0.3731586657,0.7825221789,Major Urban,93,A
071906,20.5,0,ANTHONY ISD,INDEPENDENT,19,781,0.3226632522,0.7874519846,Rural,92,A
071907,44.9,1,CANUTILLO ISD,INDEPENDENT,19,6076,0.3775510204,0.663923634,Major Suburban,88,B
071908,50.1,0,TORNILLO ISD,INDEPENDENT,19,829,0.7828709288,0.9372738239,Non-metropolitan Stable,90,A
071909,34.7,1,SOCORRO ISD,INDEPENDENT,19,47843,0.3443345944,0.7433480342,Major Urban,90,A
072901,10.8,0,THREE WAY ISD,INDEPENDENT,11,233,0.1587982833,0.7253218884,Rural,77,C
072902,54.4,0,DUBLIN ISD,INDEPENDENT,11,1146,0.2835951134,0.7652705061,Non-metropolitan Stable,92,A
072903,65.1,1,STEPHENVILLE ISD,INDEPENDENT,11,3730,0.1713136729,0.5032171582,Independent Town,89,B
072904,41.7,0,BLUFF DALE ISD,INDEPENDENT,11,242,0.0082644628,0.3347107438,Rural,56,Not Rated: SB 1365
072908,65.8,0,HUCKABAY ISD,INDEPENDENT,11,313,0.0095846645,0.124600639,Rural,82,B
072909,35.1,0,LINGLEVILLE ISD,INDEPENDENT,11,282,0.2553191489,0.5283687943,Rural,82,B
072910,30.7,0,MORGAN MILL ISD,INDEPENDENT,11,117,0,0.4957264957,Rural,77,C
073901,27.1,0,CHILTON ISD,INDEPENDENT,12,553,0.2820976492,0.9150090416,Rural,93,A
073903,25.4,0,MARLIN ISD,INDEPENDENT,12,926,0.1846652268,0.9924406048,Rural,92,A
073904,66.2,0,WESTPHALIA ISD,INDEPENDENT,12,154,0.025974026,0.1753246753,Rural,83,B
073905,44.3,0,ROSEBUD-LOTT ISD,INDEPENDENT,12,755,0.0754966887,0.638410596,Rural,92,A
074903,41.2,0,BONHAM ISD,INDEPENDENT,10,1899,0.1885202738,0.6856240126,Independent Town,80,B
074904,38.4,0,DODD CITY ISD,INDEPENDENT,10,331,0.0332326284,0.3867069486,Rural,91,A
074905,48.5,0,ECTOR ISD,INDEPENDENT,10,230,0.0304347826,0.5260869565,Rural,75,C
074907,60,0,HONEY GROVE ISD,INDEPENDENT,08,617,0.1118314425,0.5915721232,Rural,94,A
074909,50,0,LEONARD ISD,INDEPENDENT,10,814,0.0737100737,0.5933660934,Rural,79,C
074911,50.6,1,SAVOY ISD,INDEPENDENT,10,319,0.0313479624,0.5673981191,Rural,91,A
074912,24.6,0,TRENTON ISD,INDEPENDENT,10,699,0.1430615165,0.4034334764,Non-metropolitan Fast Growing,90,A
074917,55.8,0,SAM RAYBURN ISD,INDEPENDENT,10,506,0.0592885375,0.4584980237,Rural,94,A
075901,75.2,0,FLATONIA ISD,INDEPENDENT,13,661,0.1452344932,0.5189107413,Rural,95,A
075902,38.6,0,LA GRANGE ISD,INDEPENDENT,13,1883,0.2065852363,0.5762081784,Non-metropolitan Stable,88,B
075903,30.6,0,SCHULENBURG ISD,INDEPENDENT,13,687,0.173216885,0.6550218341,Rural,92,A
